PiSnoop 9.8.2.0 logfile created 14:01:38 09/11/2023 (dd/mm/yyyy)
Tip: in Excel select whole heading row (row 4) and do Data... Filter to view only desired messages. 64 bytes shown if any monitored channel in CAN-FD mode. #channel_types=CAN1:CAN#

Time (abs),Time (rel),Channel,Dir,ID,Name,Len,B0,B1,B2,B3,B4,B5,B6,B7,DBC signal name/value pairs...
14:07:29,351.1903,CAN1,Tx,0x7E0,,8,2f,00,00,00,00,00,00,00,
14:07:29,351.1913,CAN1,Tx,0x7E0,,8,20,00,00,00,00,00,00,00,
14:07:29,351.1923,CAN1,Tx,0x7E0,,8,21,00,00,00,00,00,00,00,
14:07:29,351.1943,CAN1,Tx,0x7E0,,8,22,00,00,00,00,00,00,00,
14:07:29,351.1943,CAN1,Tx,0x7E0,,8,23,00,00,00,00,00,00,00,
14:07:29,351.1953,CAN1,Tx,0x7E0,,8,24,00,00,00,00,00,00,00,
14:07:29,351.1973,CAN1,Tx,0x7E0,,8,25,00,00,00,00,00,00,00,
14:07:29,351.1983,CAN1,Tx,0x7E0,,8,26,00,00,00,00,00,00,00,
14:07:29,351.1993,CAN1,Tx,0x7E0,,8,27,00,00,00,8c,12,80,98,
14:07:29,351.2003,CAN1,Tx,0x7E0,,8,28,30,05,00,d5,e9,02,00,
14:07:29,351.2013,CAN1,Tx,0x7E0,,8,29,00,00,00,00,00,00,00,
14:07:29,351.2023,CAN1,Tx,0x7E0,,8,2a,00,00,00,00,00,00,00,
14:07:29,351.2023,CAN1,Tx,0x7E0,,8,2b,00,00,00,00,00,00,00,
14:07:29,351.2043,CAN1,Tx,0x7E0,,8,2c,00,00,00,00,00,00,00,
14:07:29,351.2053,CAN1,Tx,0x7E0,,8,2d,00,00,00,00,00,00,00,
14:07:29,351.2063,CAN1,Tx,0x7E0,,8,2e,00,00,00,00,00,00,00,
14:07:29,351.2073,CAN1,Tx,0x7E0,,8,2f,00,00,00,00,00,00,00,
14:07:29,351.2083,CAN1,Tx,0x7E0,,8,20,00,00,00,00,00,00,00,
14:07:29,351.2093,CAN1,Tx,0x7E0,,8,21,00,00,00,00,00,00,00,
14:07:29,351.2103,CAN1,Tx,0x7E0,,8,22,00,00,00,00,00,00,00,
14:07:29,351.2113,CAN1,Tx,0x7E0,,8,23,00,00,00,00,00,00,00,
14:07:29,351.2123,CAN1,Tx,0x7E0,,8,24,00,00,00,00,00,00,00,
14:07:29,351.2133,CAN1,Tx,0x7E0,,8,25,00,00,00,00,00,00,00,
14:07:29,351.2143,CAN1,Tx,0x7E0,,8,26,00,00,00,00,00,00,00,
14:07:29,351.2153,CAN1,Tx,0x7E0,,8,27,00,00,00,00,00,00,00,
14:07:29,351.2163,CAN1,Tx,0x7E0,,8,28,00,00,00,00,00,00,00,
14:07:29,351.2173,CAN1,Tx,0x7E0,,8,29,00,00,00,00,00,00,00,
14:07:29,351.2183,CAN1,Tx,0x7E0,,8,2a,00,00,00,00,00,00,00,
14:07:29,351.2193,CAN1,Tx,0x7E0,,8,2b,00,00,00,00,00,00,00,
14:07:29,351.2203,CAN1,Tx,0x7E0,,8,2c,00,00,00,00,00,00,00,
14:07:29,351.2213,CAN1,Tx,0x7E0,,8,2d,00,00,00,00,00,00,00,
14:07:29,351.2223,CAN1,Tx,0x7E0,,8,2e,00,00,00,00,00,00,00,
14:07:29,351.2233,CAN1,Tx,0x7E0,,8,2f,00,00,00,00,00,00,00,
14:07:30,351.2243,CAN1,Tx,0x7E0,,8,20,00,00,00,00,00,00,00,
14:07:30,351.2253,CAN1,Tx,0x7E0,,8,21,00,00,00,00,00,00,00,
14:07:30,351.2263,CAN1,Tx,0x7E0,,8,22,00,00,00,00,00,3b,0c,
14:07:30,351.2273,CAN1,Tx,0x7E0,,8,23,af,b6,9f,d7,9d,42,9f,
14:07:30,351.2283,CAN1,Tx,0x7E0,,8,24,70,3f,d6,a9,e0,6f,4f,
14:07:30,351.2293,CAN1,Tx,0x7E0,,8,25,f1,dc,cc,25,82,5a,80,
14:07:30,351.2303,CAN1,Tx,0x7E0,,8,26,0e,a2,80,1d,f8,c2,86,
14:07:30,351.2313,CAN1,Tx,0x7E0,,8,27,9c,33,00,00,00,00,00,
14:07:30,351.2323,CAN1,Tx,0x7E0,,8,28,00,00,00,00,00,00,00,
14:07:30,351.2333,CAN1,Tx,0x7E0,,8,29,00,00,00,00,00,00,00,
14:07:30,351.2343,CAN1,Tx,0x7E0,,8,2a,00,00,00,00,00,00,00,
